Target; Demand
WARSZAWA_BL;12
WARSZAWA_TARG;11
WARSZAWA_TARCH;11
WARSZAWA_UR;10
WARSZAWA_BL;10
WARSZAWA_BL;10
WROCLAW_2;12
WROCLAW_3;9
WROCLAW_1;9
WROCLAW_2;11
LEGNICA;7
LUBIN;4
WROCLAW_1;18
WROCLAW_3;19
RADOM;17
PABIANICE;8
PIOTRKOW_TRYB;8
TORUN_2;5
TORUN_1;5
TORUN_3;5
WROCLAW_4;6
WROCLAW_5;6
PILA_1;27
KOSZALIN;6
GLOGOW_1;3
GLOGOW_2;3
LEGNICA;8
LUBIN;5
BYDGOSZCZ_3;4
BYDGOSZCZ_1;4
BYDGOSZCZ_2;5
PABIANICE;7
LODZ_1;15
LODZ_2;15
PILA_2;13
ZLOTOW;8
TRZCIANKA;8
LUBON;6
POZNAN_R;5
POZNAN_B;5
POZNAN_PLA;5
OBORNIKI_WLKP;7
KALISZ_1;11
KONIN;10
SIERADZ;9
KALISZ_1;14
POZNAN_GR;8
POZNAN_MAR;8
SRODA_WLKP;4
JAROCIN;4
LESZNO_1;5
LESZNO_2;5
POZNAN_PRO;6
POZNAN_PLE;7
POZNAN_H;7
SUCHY_LAS;12
POZNAN_T;5
SWARZEDZ;6
POZNAN_Z;4
POZNAN_MAL;4
POZNAN_GL;5
WROCLAW_4;8
WROCLAW_5;8
WROCLAW_3;7
POZNAN_GR;10
POZNAN_Z;9
GLOGOW_1;9
GLOGOW_2;9
INOWROCLAW;6
TORUN_3;12
TORUN_2;8
TORUN_1;7
POZNAN_PRO;17
LUBON;9
POZNAN_B;9
POZNAN_MAR;9
POZNAN_T;9
POZNAN_R;10
POZNAN_MAL;9
POZNAN_R;4
POZNAN_B;4
POZNAN_PRO;3
LUBON;4
POZNAN_MAL;2
POZNAN_H;3
POZNAN_MAR;2
POZNAN_T;3
POZNAN_PLA;2
POZNAN_PLA;9
POZNAN_PLE;10
POZNAN_H;15
